Block,FrogID,MeasurementID,AvgMass(g),AccInc,AccTemp,PerfInc,PerfTemp,Breaths,BreathsPerMin,mgO2ConsPerBreath,mLAirPerBreath
1,Laevis03,B1ZeroDayPT1L03,36.73,8,17,11,8,9.333333333,10.12164729,0.033357504,0.733296683
1,Laevis04,B1ZeroDayPT1L04,59.95,9,8,1,14,39.33333333,5.649353171,0.043789624,0.682429963
1,Laevis06,B1ZeroDayPT1L06,38.515,1,8,12,17,54.66666667,9.461518834,0.013290507,0.527255155
1,Laevis07,B1ZeroDayPT1L07,13.125,12,26,10,20,4.333333333,4.998224863,0.009734231,0.085468539
1,Laevis08,B1ZeroDayPT1L08,39.09,7,26,2,29,10,9.510026542,0.024592682,0.168041588
1,Laevis09,B1ZeroDayPT1L09,33.865,9,8,7,11,3.666666667,3.935999264,0.051488358,0.383052261
1,Laevis12,B1ZeroDayPT1L12,22.575,8,17,4,23,29,7.690413061,0.009178884,0.140296578
1,Laevis13,B1ZeroDayPT1L13,25.425,7,26,8,17,18,18.52262737,0.005942962,0.183504147
1,Laevis16,B1ZeroDayPT1L16,19.965,12,26,9,23,7,5.634375808,0.038373175,0.140289045
1,Laevis19,B1ZeroDayPT1L19,14.88,10,17,6,26,7,13.95569359,0.009058685,0.171791106
1,Laevis24,B1ZeroDayPT1L24,28.085,11,8,5,20,14.33333333,6.121340253,0.012159281,0.13246003
1,Laevis03,B1ZeroDayPT2L03,36.73,8,17,3,17,4.666666667,14.39950825,0.034103256,0.322460714
1,Laevis04,B1ZeroDayPT2L04,59.95,9,8,11,23,4,5.708802268,0.103369115,0.736707913
1,Laevis06,B1ZeroDayPT2L06,38.515,11,8,12,26,8,10.8251889,0.036605243,0.402615867
1,Laevis12,B1ZeroDayPT2L12,22.575,8,17,4,14,16.5,29.69386046,0.003576321,0.13425428
1,Laevis19,B1ZeroDayPT2L19,14.88,10,17,1,29,4.666666667,2.148615222,0.027906792,0.114599392
1,Laevis24,B1ZeroDayPT2L24,28.085,11,8,2,29,8.5,3.362329355,0.042218422,0.548246706
2,Laevis02,B2ZeroDayPT1L02,54.43,2,17,7,8,2,1.932475497,0.096055505,0.876694661
2,Laevis05,B2ZeroDayPT1L05,29.635,5,26,11,23,13.66666667,9.153785719,0.023578532,0.267181397
2,Laevis11,B2ZeroDayPT1L11,33.05,1,8,4,20,9,11.70607608,0.016755134,0.327340052
2,Laevis14,B2ZeroDayPT1L14,37.54,3,26,1,29,16.66666667,15.26323026,0.002809881,0.129947397
2,Laevis17,B2ZeroDayPT1L17,26.395,4,8,12,14,5.333333333,6.687838572,0.005421401,0.270522433
2,Laevis18,B2ZeroDayPT1L18,31.7,5,26,6,20,9.333333333,8.000339088,0.020807404,0.396259757
2,Laevis20,B2ZeroDayPT1L20,15.64,3,26,8,17,17,11.66320908,0.009303588,0.105295696
2,Laevis21,B2ZeroDayPT1L21,26.21,4,8,2,17,3.666666667,3.93500041,0.008295536,0.11737924
2,Laevis22,B2ZeroDayPT1L22,17.99,2,17,10,23,18,9.208195443,0.01048257,0.210261775
2,Laevis23,B2ZeroDayPT1L23,33.055,6,17,3,11,28.66666667,21.55937608,0.002694067,0.146688673
2,Laevis01,B2ZeroDayPT2L01,40.07,6,17,6,11,9.666666667,4.943125305,0.016401492,0.213979333
2,Laevis02,B2ZeroDayPT2L02,54.43,2,17,8,23,13,16.38854129,0.022832746,0.305414213
2,Laevis05,B2ZeroDayPT2L05,29.635,5,26,4,17,17.33333333,22.66429139,0.007218701,0.12173961
2,Laevis10,B2ZeroDayPT2L10,50.925,1,8,11,14,6.333333333,7.577717892,0.048423595,0.632339122
2,Laevis11,B2ZeroDayPT2L11,33.05,1,8,5,29,4,6.527299637,0.028465646,0.428951727
2,Laevis14,B2ZeroDayPT2L14,37.54,3,26,1,23,6,7.854271188,0.018774357,0.435806013
2,Laevis17,B2ZeroDayPT2L17,26.395,4,8,7,20,10.33333333,4.640004936,0.0316273,0.53813571
2,Laevis18,B2ZeroDayPT2L18,31.7,5,26,2,11,25.66666667,28.92973973,0.007390759,0.14161836
2,Laevis21,B2ZeroDayPT2L21,26.21,4,8,12,26,5.333333333,6.002956336,0.030734336,0.402151974
2,Laevis22,B2ZeroDayPT2L22,17.99,2,17,3,26,10,9.103766345,0.011013526,0.119469027
3,Laevis02,B3ZeroDayPT1L02,44.56,7,26,8,17,2.666666667,5.188520025,0.041497738,0.881709046
3,Laevis03,B3ZeroDayPT1L03,31.81,11,8,5,20,7.666666667,6.05656111,0.048998618,0.19594124
3,Laevis04,B3ZeroDayPT1L04,50.59,7,26,2,29,7,7.135575943,0.116262997,0.483348105
3,Laevis11,B3ZeroDayPT1L11,29.075,8,17,11,8,8,6.400426695,0.019683942,0.347752964
3,Laevis19,B3ZeroDayPT1L19,15.95,11,8,12,17,17,5.734852267,0.010323091,0.314920274
3,Laevis21,B3ZeroDayPT1L21,22.35,12,26,9,23,4.666666667,5.705609973,0.032910389,0.232421694
3,Laevis22,B3ZeroDayPT1L22,18.775,9,8,7,11,7.666666667,5.760430099,0.015653077,0.328572
3,Laevis23,B3ZeroDayPT1L23,31.31,8,17,4,20,7,16.21883588,0.010299942,0.239988572
3,Laevis02,B3ZeroDayPT2L02,44.56,7,26,9,8,4,6.566527866,0.023630072,0.522009512
